name,price,return,review
"Philips MG5740/15, 12-in-1, Face, Hair and Body - Multi Grooming Kit. Dual Cut Blades for Maximum Precision, 80 Mins Run Time (Silver)","₹2,386.00",7 Days Replacement,"2,098 ratings"
Philips BT3221/15 corded & cordless Titanium blade Beard Trimmer - 20 length settings; 90 min run time,"₹1,723.00",7 Days Replacement,"36,516 ratings"
NOVA NG 1152 Cordless Rechargeable: 60 Minutes Runtime Multi Grooming Trimmer for Men (Blue),₹999.00,7 Days Replacement,963 ratings
Havells BT5100C Micro USB rechargeable Beard & Moustache Trimmer with hypoallergenic stainless steel blades allows Zero Trim with .5 mm precision,₹748.00,7 Days Replacement,"1,932 ratings"
"PHILIPS BT1232/15 Skin-friendly Beard Trimmer - DuraPower Technology, Cordless Rechargeable with USB Charging, Charging indicator, Travel lock, No Oil Needed, Blue",₹749.00,7 Days Replacement,"4,339 ratings"
"MI Cordless Beard Trimmer 1C, with 20 length settings, 60 MInutes of usage, & USB Fast charging, black",₹899.00,7 Days Replacement,"22,515 ratings"
Philips BT3211/15 corded & cordless Beard Trimmer with Fast Charge; 20 settings; 60 min run time,"₹1,546.00",7 Days Replacement,"39,649 ratings"
"Aqua Blade Rechargeable Wet Dry Lithium Ion Deluxe Trimming Kit with 2 Interchangeable Heads for Shaving, Detailing, Grooming Beards, Mustaches & Body","₹6,689.00",7 Days Replacement,"2,758 ratings"
"PHILIPS Electric Shaver S5582/20 - SenseIQ Technology - Power Adapt sensor 360-D Flexing heads Integrated pop-up trimmer, Wet & Dry shave, Steel Precision blades, Blue","₹6,448.00",7 Days Replacement,68 ratings
Philips QP2525/10 Cordless OneBlade Hybrid Trimmer and Shaver with 3 Trimming Combs (Lime Green),"₹1,648.00",7 Days Replacement,"23,420 ratings"
"SYSKA HB100 Ultraclip Hair Clipper and Trimmer support Super Fast Charging, Runtime-90Mins, 20 Length Settings with 4 Stubble Guided Comb (Black)","₹1,475.00",7 Days Replacement,"5,402 ratings"
Philips Cordless Grooming Kit - Trimmer + Body Grooming (White),"₹2,271.00",7 Days Replacement,"1,384 ratings"
"Braun Beard Trimmer for Men BT5260, Cordless & Rechargeable Hair Clipper, Detail Trimmer with Gillette ProGlide Razor, 39 length settings, 5min quick charge, 100 min runtime, Black/Silver Metal","₹3,249.00",7 Days Replacement,466 ratings
"VEGA Men X1 Beard Trimmer For Men With Quick Charge, 90 Mins Run-time, Waterproof, For Cord & Cordless Use And 40 Length Settings, (VHTH-16)",₹899.00,7 Days Replacement,"3,219 ratings"
Philips BT3203/15 cordless rechargeable Beard Trimmer - 10 length settings; 45 min run time,"₹1,049.00",7 Days Replacement,"39,885 ratings"
Philips BT3221/15 corded & cordless Titanium blade Beard Trimmer - 20 length settings; 90 min run time,"₹1,723.00",7 Days Replacement,"36,516 ratings"
Mi Corded & Cordless Waterproof Beard Trimmer with Fast Charging - 40 length settings,"₹1,299.00",7 Days Replacement,"52,968 ratings"
Philips QP2525/10 Cordless OneBlade Hybrid Trimmer and Shaver with 3 Trimming Combs (Lime Green),"₹1,648.00",7 Days Replacement,"23,420 ratings"
SYSKA HT3333K Corded & Cordless Stainless Steel Blade Grooming Trimmer with 60 Minutes Working Time; 10 Length Settings (Black),"₹1,198.00",7 Days Replacement,"13,405 ratings"
"Lifelong Trimmer- Runtime 50 minutes, 20 Length Settings | Cordless Beard Trimmer with 1 Year Warranty (LLPCM05, Black)",₹548.00,7 Days Replacement,"10,240 ratings"
Nova NHT-1045 Rechargeable Cordless: 30 Minutes Runtime Beard Trimmer for Men (Black),₹369.00,7 Days Replacement,"28,004 ratings"
"Veet Sensitive Touch Expert Trimmer for Face, Underarms and Bikini line – Battery & Carry Pouch included","₹1,299.00",7 Days Replacement,"13,804 ratings"
"Lifelong Trimmer- 45 Minutes Runtime; 20 Length Settings | Cordless, Rechargeable Trimmer with 1 Year Warranty (LLPCM13, Black)",₹498.00,7 Days Replacement,"6,576 ratings"
Nova NG 1146 Rechargeable: 120 Minutes Runtime Multi Grooming Trimmer for Men (Blue),₹945.00,7 Days Replacement,127 ratings
